Unique Reference Number,School Name,Open/Closed?,Street,Locality,Town,Postcode,Primary School,Secondary School,Open Date,Close Date,Minor Group,Percentage of pupils eligible for FSM (Ever6),Number of pupils eligible for FSM (Ever6),,,
139773,Leeds Jewish Free School,,Henry Cohen Campus,Wentworth Avenue,Leeds,LS17 7TN,0,1,,,Academy,30.8%,285,,,
140038,Leeds Christian School of Excellence,,Reconciliation Centre,Avenue Hill,Leeds,LS8 4EX,1,0,,,Independent School,,,,,
140068,East Garforth Primary Academy,,Aberford Road,East Garforth,Leeds,LS25 2HF,1,0,,,Academy,17.3%,53,,,
140399,"Holy Trinity Church of England Academy, Rothwell",,Queensway,Rothwell,Leeds,LS26 0NB,1,0,,,Academy,31.9%,147,,,
140413,Hillcrest Academy,,Cowper Street,,Leeds,LS7 4DR,1,0,,,Academy,33.2%,182,,,
140565,The Ruth Gorse Academy,,Black Bull Street,,Leeds,LS10 1HW,0,1,,,Academy,55.2%,429,,,
140824,Ryecroft Academy,,Stonebridge Grove,Farnley,Leeds,LS12 5AW,1,0,,,Academy,55.2%,297,,,
141521,St Chad's Church of England Primary School,,Northolme Avenue,West Park,Leeds,LS16 5QR,1,0,,,Academy,10.5%,57,,,
141797,Morley Newlands Academy,,Wide Lane,Morley,Leeds,LS27 8PG,1,0,,,Academy,30.3%,34,,,
141883,Temple Learning Academy,,Neville Road,,Leeds,LS15 0NN,1,1,,,Academy,57.3%,108,,,
141940,Elliott Hudson College,,"The White Rose Office Park, Millshaw Park Lane",,Leeds,LS11 0LT,0,0,,,Academy,,,,,
142004,Holy Name Catholic Voluntary Academy,,Otley Old Road,Cookridge,Leeds,LS16 6NF,1,0,,,Academy,13.1%,46,,,
142056,Bruntcliffe Academy,,Bruntcliffe Lane,Morley,Leeds,LS27 0LZ,0,1,,,Academy,40.1%,480,,,
142450,Victoria Primary Academy,,Ivy Avenue,,Leeds,LS9 9ER,1,0,,,Academy,59.8%,129,,,
142585,Cockburn School,,Parkside,Gipsy Lane,Leeds,LS11 5TT,0,1,,,Academy,47.8%,388,,,
142604,University Technical College Leeds,,2 Sayner Road,Hunslet,Leeds,LS10 1LA,0,1,,,Academy,30.9%,192,,,
142629,Ebor Gardens Primary Academy,,Rigton Drive,,Leeds,LS9 7PY,1,0,,,Academy,51.9%,52,,,
142630,Springwell Leeds Academy,,Middleton Road,,Leeds,LS10 3JA,1,1,,,Special School,82.0%,419,,,
142851,North Rigton Church of England Primary School,,Hall Green Lane,North Rigton,Leeds,LS17 0DW,1,0,01/12/2017,,Academy,1.0%,2,,,
143239,Swillington Primary School,,Church Lane,Swillington,Leeds,LS26 8DX,1,0,,,Academy,28.3%,131,,,
143240,Kippax Ash Tree Primary School,,Gibson Lane,Kippax,Leeds,LS25 7JL,1,0,,,Academy,27.8%,130,,,
143241,Kippax Greenfield Primary School,,Ebor Mount,Kippax,Leeds,LS25 7PA,1,0,,,Academy,12.7%,50,,,
143243,Kippax North Primary School,,Brexdale Avenue,Kippax,Leeds,LS25 7EJ,1,0,,,Academy,20.9%,47,,,
144620,Beechtree Steiner Initiative,,192a Chapeltown Road,,Leeds,LS7 4HZ,1,0,,,Independent School,,,,,
144743,Dixons Trinity Chapeltown,,Leopold Street,,Leeds,LS7 4AW,1,1,,,Academy,39.3%,119,,,
144809,Bishop Young Church of England Academy,,Bishops Way,Seacroft,Leeds,LS14 6NU,0,1,,,Academy,60.4%,808,,,
144824,"Christ The King Catholic Primary School, A Voluntary Academy",,Kings Approach,Bramley,Leeds,LS13 2DX,1,0,,,Academy,27.7%,60,,,
145178,The Richmond Hill Academy,,Clark Lane,,Leeds,LS9 8PN,1,0,01/11/2017,,Academy,59.5%,203,,,
145733,Methley Primary School,,Savile Road,Methley,Leeds,LS26 9HT,1,0,01/04/2018,,Academy,,,,,
145778,Monk Fryston Church of England Primary School,,Chestnut Green,Monk Fryston,Leeds,LS25 5PN,1,0,01/05/2018,,Academy,,,,,
145820,South Milford Primary School,,Sand Lane,South Milford,Leeds,LS25 5AU,1,0,01/06/2018,,Academy,,,,,
145821,Sherburn Hungate Primary School,,North Crescent,Sherburn-in-Elmet,Leeds,LS25 6DD,1,0,01/06/2018,,Academy,,,,,
145879,Elements Primary Free School,,Acre Mount,Middleton,Leeds,LS10 4WR,1,0,01/09/2018,,Academy,,,,,
145927,Cockburn John Charles Academy,,Old Run Road,,Leeds,LS10 2JU,0,1,01/04/2018,,Academy,,,,,
146003,Thorner Church of England Primary School,,Kirkhills,Thorner,Leeds,LS14 3JD,1,0,01/07/2018,,Academy,,,,,
146213,Austhorpe Primary School,,Austhorpe Lane,,Leeds,LS15 8TP,1,0,01/09/2018,,Academy,,,,,
146215,Meadowfield Primary School,,Halton Moor Avenue,,Leeds,LS9 0JY,1,0,01/11/2018,,Academy,,,,,
146218,Templenewsam Halton Primary School,,Pinfold Lane,,Leeds,LS15 7SY,1,0,01/11/2018,,Academy,,,,,
146219,Whitkirk Primary School,,Templegate Walk,Whitkirk,Leeds,LS15 0EU,1,0,01/11/2018,,Academy,,,,,
146233,Colton Primary School,,School Lane,Colton,Leeds,LS15 9AL,1,0,01/11/2018,,Academy,,,,,
146247,Temple Moor High School,,Field End Grove,Selby Road,Leeds,LS15 0PT,0,1,01/11/2018,,Academy,,,,,
146297,Middleton Primary School,,Middleton Park Avenue,,Leeds,LS10 4HU,1,0,01/09/2018,,Academy,,,,,
146306,Christ Church Upper Armley Church of England Primary School,,Theaker Lane,,Leeds,LS12 3NU,1,0,01/09/2018,,Academy,,,,,
146339,The Pivot Academy LS East,,Unit 12 Killingbeck Drive,York Road,Leeds,LS14 6UF,0,1,14/11/2018,,Independent School,,,,,
146363,Dixons Unity Academy,,Whingate Road,,Leeds,LS12 3DS,0,1,01/10/2018,,Academy,,,,,
146542,Bramley Park Academy,,Fairfield Hill,Bramley,Leeds,LS13 3DP,1,0,01/11/2018,,Academy,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
